SNumber,Company Name,Mobile Price,Offer Given,Rating,RAM,ROM,Display,Camera,Battery,Processor,Phone_Warranty,Accessory_Warranty,Ratings_Count,Reviews_Count
100,"realme 11 Pro+ 5G (Oasis Green, 256 GB)",27999.0,6% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,25055.0,2677.0
101,"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)",27999.0,6% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,25055.0,2677.0
102,"realme 11 Pro+ 5G (Astral Black, 256 GB)",27999.0,6% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,25055.0,2677.0
107,"realme 11 Pro 5G (Sunrise Beige, 256 GB)",27999.0,9% off,4.3,12 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,939.0,82.0
108,"realme 10 Pro 5G (Dark Matter, 128 GB)",17999.0,21% off,4.3,8 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP ,108MP + 2MP | 16MP Front Camera,5000 mAh,Snapdragon 695 5G Processor,1 Year Manufacturer Warranty for Phone,No Warranty,32598.0,2376.0
109,"realme 10 Pro 5G (Hyperspace, 128 GB)",17999.0,21% off,4.3,8 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP ,108MP + 2MP | 16MP Front Camera,5000 mAh,Snapdragon 695 5G Processor,1 Year Manufacturer Warranty for Phone,No Warranty,32598.0,2376.0
110,"realme 11 Pro+ 5G (Oasis Green, 256 GB)",29999.0,9% off,4.3,12 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,9040.0,976.0
111,"realme 10 Pro 5G (Nebula Blue, 128 GB)",17999.0,21% off,4.3,8 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP ,108MP + 2MP | 16MP Front Camera,5000 mAh,Snapdragon 695 5G Processor,1 Year Manufacturer Warranty for Phone,No Warranty,32598.0,2376.0
112,"realme 10 Pro 5G (Nebula Blue, 128 GB)",16999.0,19% off,4.3,6 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP ,108MP + 2MP | 16MP Front Camera,5000 mAh,Snapdragon 695 5G Processor,1 Year Manufacturer Warranty for Phone,No Warranty,38372.0,2758.0
113,"realme 11 Pro 5G (Astral Black, 256 GB)",24999.0,10% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,33781.0,3041.0
